in:0 out:0 type:1 q:721 itex:184119 ptex:0 mv:0 misc:11902 fcode:1 bcode:1 mc-var:0 var:969790 icount:1900 skipcount:0 hbits:107;
in:1 out:1 type:2 q:236 itex:176399 ptex:43255 mv:1273 misc:6746 fcode:2 bcode:1 mc-var:620773 var:910235 icount:320 skipcount:1347 hbits:55;
in:2 out:2 type:2 q:236 itex:111374 ptex:10698 mv:1125 misc:4700 fcode:1 bcode:1 mc-var:361212 var:918081 icount:175 skipcount:1547 hbits:55;
in:3 out:3 type:2 q:236 itex:199875 ptex:22409 mv:1353 misc:6156 fcode:2 bcode:1 mc-var:678523 var:1026351 icount:312 skipcount:1452 hbits:55;
in:4 out:4 type:2 q:236 itex:192437 ptex:12299 mv:1702 misc:6091 fcode:2 bcode:1 mc-var:674498 var:949047 icount:303 skipcount:1417 hbits:55;
in:5 out:5 type:2 q:236 itex:131455 ptex:13823 mv:1094 misc:4869 fcode:2 bcode:1 mc-var:419747 var:927728 icount:205 skipcount:1581 hbits:55;
in:6 out:6 type:2 q:236 itex:143325 ptex:14569 mv:1153 misc:5026 fcode:2 bcode:1 mc-var:419986 var:912893 icount:206 skipcount:1552 hbits:55;
in:7 out:7 type:2 q:236 itex:139455 ptex:16551 mv:1083 misc:4800 fcode:2 bcode:1 mc-var:402510 var:940343 icount:190 skipcount:1602 hbits:55;
in:8 out:8 type:2 q:236 itex:130400 ptex:24334 mv:830 misc:4893 fcode:1 bcode:1 mc-var:422027 var:995858 icount:199 skipcount:1595 hbits:55;
in:9 out:9 type:2 q:236 itex:134059 ptex:27660 mv:753 misc:5025 fcode:1 bcode:1 mc-var:493144 var:1002020 icount:219 skipcount:1600 hbits:55;
in:10 out:10 type:2 q:236 itex:89639 ptex:26343 mv:908 misc:4327 fcode:2 bcode:1 mc-var:358158 var:911259 icount:146 skipcount:1646 hbits:55;
in:11 out:11 type:2 q:236 itex:99678 ptex:22895 mv:892 misc:4264 fcode:2 bcode:1 mc-var:268913 var:907658 icount:145 skipcount:1664 hbits:55;
in:12 out:12 type:2 q:236 itex:123962 ptex:10345 mv:484 misc:4530 fcode:1 bcode:1 mc-var:413706 var:927621 icount:198 skipcount:1652 hbits:55;
in:13 out:13 type:2 q:236 itex:103541 ptex:27017 mv:1082 misc:4441 fcode:2 bcode:1 mc-var:323065 var:937619 icount:151 skipcount:1639 hbits:55;
in:14 out:14 type:2 q:236 itex:86903 ptex:18507 mv:643 misc:3948 fcode:1 bcode:1 mc-var:267208 var:923956 icount:131 skipcount:1702 hbits:55;
in:15 out:15 type:2 q:236 itex:82085 ptex:12735 mv:585 misc:3676 fcode:2 bcode:1 mc-var:253144 var:897975 icount:112 skipcount:1720 hbits:55;
in:16 out:16 type:2 q:236 itex:97153 ptex:14210 mv:489 misc:4125 fcode:1 bcode:1 mc-var:310703 var:888839 icount:153 skipcount:1698 hbits:55;
in:17 out:17 type:2 q:236 itex:71353 ptex:21888 mv:449 misc:3519 fcode:1 bcode:1 mc-var:189907 var:898332 icount:92 skipcount:1751 hbits:55;
in:18 out:18 type:2 q:236 itex:73655 ptex:20147 mv:700 misc:3691 fcode:2 bcode:1 mc-var:226758 var:942543 icount:101 skipcount:1724 hbits:55;
in:19 out:19 type:2 q:236 itex:88328 ptex:27044 mv:851 misc:4034 fcode:2 bcode:1 mc-var:274581 var:902108 icount:122 skipcount:1685 hbits:55;
in:20 out:20 type:2 q:236 itex:87477 ptex:14557 mv:776 misc:3903 fcode:2 bcode:1 mc-var:256428 var:830589 icount:133 skipcount:1696 hbits:55;
in:21 out:21 type:2 q:236 itex:93280 ptex:21656 mv:366 misc:3907 fcode:1 bcode:1 mc-var:299665 var:927136 icount:126 skipcount:1723 hbits:55;
in:22 out:22 type:2 q:236 itex:45833 ptex:23308 mv:663 misc:3357 fcode:1 bcode:1 mc-var:135013 var:924225 icount:68 skipcount:1758 hbits:55;
in:23 out:23 type:2 q:236 itex:57398 ptex:18675 mv:596 misc:3340 fcode:2 bcode:1 mc-var:155273 var:842815 icount:81 skipcount:1754 hbits:55;
in:24 out:24 type:2 q:236 itex:163356 ptex:17714 mv:910 misc:4957 fcode:1 bcode:1 mc-var:505534 var:878780 icount:225 skipcount:1598 hbits:55;
in:25 out:25 type:2 q:236 itex:74229 ptex:29529 mv:730 misc:3920 fcode:1 bcode:1 mc-var:236318 var:886783 icount:105 skipcount:1699 hbits:56;
in:26 out:26 type:2 q:236 itex:46661 ptex:10828 mv:316 misc:3020 fcode:1 bcode:1 mc-var:124964 var:928891 icount:56 skipcount:1792 hbits:55;
in:27 out:27 type:2 q:236 itex:68135 ptex:13492 mv:464 misc:3894 fcode:1 bcode:1 mc-var:235993 var:779743 icount:143 skipcount:1710 hbits:55;
in:28 out:28 type:2 q:236 itex:121332 ptex:17156 mv:406 misc:4275 fcode:1 bcode:1 mc-var:395595 var:911907 icount:162 skipcount:1680 hbits:55;
in:29 out:29 type:2 q:236 itex:49684 ptex:21404 mv:545 misc:3320 fcode:1 bcode:1 mc-var:136078 var:904491 icount:71 skipcount:1762 hbits:55;
in:30 out:30 type:2 q:236 itex:30680 ptex:15270 mv:366 misc:2813 fcode:1 bcode:1 mc-var:74179 var:898258 icount:41 skipcount:1819 hbits:55;
in:31 out:31 type:2 q:236 itex:79653 ptex:19427 mv:349 misc:3868 fcode:1 bcode:1 mc-var:271688 var:858045 icount:134 skipcount:1721 hbits:55;
in:32 out:32 type:2 q:236 itex:94077 ptex:11668 mv:306 misc:3902 fcode:1 bcode:1 mc-var:332659 var:851804 icount:142 skipcount:1717 hbits:55;
in:33 out:33 type:2 q:236 itex:43816 ptex:18735 mv:476 misc:3182 fcode:1 bcode:1 mc-var:124087 var:868293 icount:60 skipcount:1774 hbits:55;
in:34 out:34 type:2 q:236 itex:52706 ptex:20772 mv:416 misc:3403 fcode:1 bcode:1 mc-var:161145 var:862869 icount:86 skipcount:1758 hbits:55;
in:35 out:35 type:2 q:236 itex:37487 ptex:26753 mv:608 misc:3161 fcode:2 bcode:1 mc-var:110686 var:849635 icount:54 skipcount:1778 hbits:55;
in:36 out:36 type:2 q:236 itex:73362 ptex:8843 mv:243 misc:3537 fcode:1 bcode:1 mc-var:217035 var:826497 icount:115 skipcount:1754 hbits:55;
